PET_SKIL_1	Manual Metine
GUILD_INFO_CUR_EXP	Experienþã
GUILD_INFO_DECALRE_WAR	Declarã rãzboi
GUILD_INFO_ENEMY_GUILD	Breaslã inamicã
GUILD_INFO_ENEMY_GUILD_EMPTY	Niciuna
GUILD_INFO_LEVEL	Nivel breaslã
GUILD_INFO_MARK	Simbol breaslã
GUILD_INFO_MASTER	Conducãtor
GUILD_INFO_MASTER_VALUE	Conducãtor
GUILD_INFO_MEMBER_AVG_LEVEL	Nivel mediu
GUILD_INFO_MEMBER_NUM	Nr de membrii
GUILD_INFO_NAME	Nume breaslã
GUILD_INFO_NAME_VALUE	Acesta este un nume de breaslã
GUILD_INFO_OFFER_EXP	Invest.
GUILD_INFO_REST_EXP	Experienþã necesarã
GUILD_INFO_UPLOAD_MARK	Upload simbol
GUILD_INFO_UPLOAD_SYMBOL	Upload steag
GUILD_LANDDEAL_VOTE	Vinde Teritoriu Breaslã
GUILD_LANDDEAL_VOTE_DEALGOLD	Preþ în Yang:
GUILD_LANDDEAL_VOTE_DEALGUILDNAME	Nume breaslã:
GUILD_MARK	Simbol breaslã
GUILD_MASTER_CHANGE_TITLEBAR	Predã Conducere Breaslã
GUILD_MEMBER_JOB	Clasã
GUILD_MEMBER_KNIGHT	Combatant
GUILD_MEMBER_LEVEL	Nivel
GUILD_MEMBER_NAME	Nume
GUILD_MEMBER_OUT_TITLEBAR	Înlãturã Membru
GUILD_MEMBER_RANK	Grad
GUILD_MEMBER_SPECIFIC_GRAVITY	Investi.
GUILD_MEMBER_VOTE_CHECK	Verificã voturi
GUILD_METIN_STONE	Piatra Spiritului
GUILD_MINENAL	Mineral
GUILD_MONEY	Yang
GUILD_NAME	Alianþã
GUILD_RESOURCE_INFO	Informaþii resurse
GUILD_SKILLPAGE_LADDER	Puncte Rang
GUILD_SKILLPAGE_RANK	Rang
GUILD_SKILL_ACTIVE	Activ
GUILD_SKIlL_HEAL_GSP	Încarcã
GUILD_SKILL_PASSIVE	Pasiv
GUILD_SKILL_POWER	Energie
GUILD_SKILL_STATE	Competenþa breslei
GUILD_SYMBOL	Steag breaslã
GUILD_WAR_ACCEPT	Acceptã declaraþia de rãzboi a breslei
GUILD_WAR_ALLSCORE	Toate Rãzboaiele
GUILD_WAR_BATTLE_TYPE	Stil de luptã
GUILD_WAR_CTF	Steag
GUILD_WAR_DECLARE	Declarã rãzboi breaslã
GUILD_WAR_ENEMY	Inamic
GUILD_WAR_GAINSCORE	Puncte
GUILD_WAR_GAINSCORE_FIFTY	50
GUILD_WAR_GAINSCORE_HUNDRED	100
GUILD_WAR_GAINSCORE_THIRTY	30
GUILD_WAR_GAMETIME	Timp Luptã
GUILD_WAR_GAMETIME_SIXTY	60 min.
GUILD_WAR_GAMETIME_TEN	10 min.
GUILD_WAR_GAMETIME_THIRTY	30 min.
GUILD_WAR_JOINMEMBER	Membri
GUILD_WAR_JOINMEMBER_COUNT	Membri
GUILD_WAR_JOINMEMBER_FIFTEEN	15
GUILD_WAR_JOINMEMBER_FIVE	5
GUILD_WAR_JOINMEMBER_TEN	10
GUILD_WAR_NORMAL	Câmp
GUILD_WAR_REPORT	Raport Rãzboi
GUILD_WAR_REPORTLIST	Vedere (Bãtãlii: B, Victorii: V, Pierderi: P, Remizã: R)
GUILD_WAR_SCORE	Raport Rãzboi
GUILD_WAR_SKILL	Abilitãþi Breaslã
GUILD_WAR_TYPE_DEFENSE	Scut Luptã
GUILD_WAR_TYPE_DIE	Luptã în Arenã
GUILD_WAR_TYPE_FLAG	Captureazã Steag
GUILD_WAR_TYPE_NORMAL	Luptã de Câmp
GUILD_WAR_TYPE_TIGER	Anihilare
GUILD_WAR_TYPE_TIME	Timp Atac
GUILD_WAR_WARP	Arena
GUILD_WAR_WIN	Runde
GUILD_WAR_WIN_FIVE	5
GUILD_WAR_WIN_ONE	1
GUILD_WAR_WIN_THREE	3
GUILD_WATER	Apã
GUILD_WATER_STONE	Piatrã acvaticã
GUILD_WITHDRAW	Colecteazã
HELP_ATTACK	Activeazã un singur atac per clic de mouse.
HELP_ATTACK_KEY	Atac: buton stînga mouse sau space
HELP_AUTO_ATTACK	Activeazã atacuri automate per clic de mouse.
HELP_CAMERA	Vedere camerã
HELP_CHANGE_PK_MODE	Schimbare mod de atac: schimbã setãrile butonului stînga de la mouse.
HELP_CHARACTER_BUTTON1	(Fereastrã caracter, Fereastrã inventar,
HELP_CHARACTER_BUTTON2	Lista prieteni ºi Opþiuni)
HELP_CHAT	Pentru a vorbi în grupuri specifice, pune înaintea mesajului urmãtoarele: !(strigare), #(chat de grup) sau %(chat breaslã).
HELP_CLICK_OTHER_PLAYER	Clic dreapta pe alt jucãtor pentru a negocia, forma un grup sau a-l duela.
HELP_CONTROL_CAMERA_BY_MIDDLEBUTTON	Camerã Vedere Standard: butonul din mijloc al mouse-ului
HELP_CONTROL_CAMERA_BY_RIGHTBUTTON	Camerã Vedere Alternativã: botonul drept sau stâng al mouse-ului
HELP_EMOTINO	Aratã-þi emoþiile cu ajutorul combinaþiei <CTRL> + <1~9>.
HELP_EXP	Experienþã
HELP_FURY	Magazin Obiecte in joc
HELP_GUILD_WINDOW	Pentru a deschide fereastra breslei: ALT + G
HELP_HELP	Ajutor: H
HELP_HELP_KEY	Setãrile standard sunt afiºate în ecranul de ajutor.
HELP_HP	Puncte de Viaþã (PV)
HELP_KEYSETTING	Poþi sã schimbi cheia de personalizare de la opþiunile jocului.
HELP_MESSENGER_WINDOW	Deschide lista de prieteni: ALT + M
HELP_MINIMAP	Aratã harta mini.
HELP_MINIMAP_QUEST	Misiunile sunt afiºate cu icoane semnalizate pe harta mini sau harta mare.
HELP_MOUSE_LEFT	Funcþie buton maus stâng
HELP_MOUSE_RIGHT	Funcþie buton maus drept
HELP_MOVE_KEY	Panou control: W, A, S, D sau sãgeþile de pe tastaturã
HELP_OFF_QUESTSCROLL	Afiºeazã/ascunde misiunile cu <CTRL> + Q.
HELP_OPEN_CHARACTER	Pentru a deschide fereastra caracterului: C
HELP_OPEN_CHAT	Pentru a deschide fereastra de chat: Enter
HELP_OPEN_INVENTORY	Pentru a deschide inventarul: I
HELP_OPEN_LOG	Pentru a deschide logul de chat: L
HELP_OPEN_MINIMAP	Pentru a deschide mini-harta: SHIFT + M
HELP_OPEN_QUEST	Pentru a deschide fereastra cu sarcini: N
HELP_OPEN_SKILL	Pentru a deschide fereastra pentru aptitudini: V
HELP_OPEN_WHISPER	Pentru a deschide fereastra pentru ºoaptã: SHIFT + ENTER
HELP_OPEN_ZONEMAP	Pentru a deschide harta mare: M
HELP_PICK_ITEM	Adunã Obiectele: `sau Z sau butonul stâng al mouse-ului
HELP_QUICKSLOT	Câmp acces rapid
HELP_SCREEN_CAPTURE	Pentru a salva screenshoturile: Print (se va salva in "Metin2\screenshot")
HELP_SERVER	Aratã serverul ºi canalul.
HELP_SHOW_ALL_NAME	Afiºeazã nume: ALT
HELP_SKILL	Poþi folosi o abilitate cu butonul drept al mouse-ului.
HELP_SP	Puncte de mana (PM)
HELP_SYSTEM_BUTTON	Taste Sistem
INVENTORY_PAGE_BUTTON_TOOLTIP_1	Inventarul 1
INVENTORY_PAGE_BUTTON_TOOLTIP_2	Inventarul 2
INVENTORY_PAGE_BUTTON_TOOLTIP_3	Inventarul 3
INVENTORY_PAGE_BUTTON_TOOLTIP_4	Inventarul 4
INVENTORY_TITLE	Inventar
ITEM_MALL	Magazin de Obiecte
KEYCHANGE_ACTION_WINDOW	Acþiuni
KEYCHANGE_ATTACK	Atacã
KEYCHANGE_AUTORUN	Auto
KEYCHANGE_AUTO_WINDOW	Atac-Automat
KEYCHANGE_BASEACTION	Butoane Standard
KEYCHANGE_CAM_DOWN1	Camerã (jos)
KEYCHANGE_CAM_DOWN2	Camerã (jos)
KEYCHANGE_CAM_LEFT1	Camerã (stânga)
KEYCHANGE_CAM_LEFT2	Camerã (stânga)
KEYCHANGE_CAM_RIGHT1	Camerã (dreapta)
KEYCHANGE_CAM_RIGHT2	Camerã (dreapta)
KEYCHANGE_CAM_UP1	Camerã (sus)
KEYCHANGE_CAM_UP2	Camerã (sus)
KEYCHANGE_CAM_ZOOM_IN1	Camerã (mãreºte)
KEYCHANGE_CAM_ZOOM_IN2	Camerã (mãreºte)
KEYCHANGE_CAM_ZOOM_OUT1	Camerã (micºoreazã)
KEYCHANGE_CAM_ZOOM_OUT2	Camerã (micºoreazã)
KEYCHANGE_CANCLE	Anuleazã
KEYCHANGE_CHAT_WINDOW	Log Chat
KEYCHANGE_CLEAR	Standard
KEYCHANGE_DDS_WINDOW	DSS
KEYCHANGE_DOWN1	Înapoi
KEYCHANGE_DOWN2	Înapoi
KEYCHANGE_EMOTION1	Emoþie (Trist)
KEYCHANGE_EMOTION2	Emoþie (Yang)
KEYCHANGE_EMOTION3	Emoþie (Muzicã)
KEYCHANGE_EMOTION4	Emoþie (Inimã)
KEYCHANGE_EMOTION5	Emoþie (Inimã)
KEYCHANGE_EMOTION6	Emoþie (Bombã)
KEYCHANGE_EMOTION7	Emoþie (Idee)
KEYCHANGE_EMOTION8	Emoþie (Furtunã)
KEYCHANGE_EMOTION9	Emoþie (Regret)
KEYCHANGE_GUILD_WINDOW	Breaslã
KEYCHANGE_HELP_WINDOW	Ajutor
KEYCHANGE_IMPOSSIBLE_CHANGE	[CTRL], [ALT], [SHIFT] nu sunt permise!
KEYCHANGE_INTERFACE	Fereastrã
KEYCHANGE_INVENTORY_WINDOW	Inventar
KEYCHANGE_KEY_SETTING	Setãri Tastaturã
KEYCHANGE_LEFT1	Stânga
KEYCHANGE_LEFT2	Stânga
KEYCHANGE_MESSENGER_WINDOW	Prieteni
KEYCHANGE_MINIMAP_MINER	Hartã Mini (-)
KEYCHANGE_MINIMAP_PLUS	Hartã Mini (+)
KEYCHANGE_MINIMAP_WINDOW	Hartã Mare
KEYCHANGE_MONSTER_CARD_WINDOW	Card Monstru
KEYCHANGE_NEXT_TARGET	Urmãtoarea Þintã
KEYCHANGE_PET_WINDOW	Pet
KEYCHANGE_QUEST_SCROLL_ONOFF	Pergamente Misiuni
KEYCHANGE_QUEST_WINDOW	Misiuni
KEYCHANGE_QUICKSLOT1	Nivel 1
KEYCHANGE_QUICKSLOT2	Nivel 2
KEYCHANGE_QUICKSLOT3	Nivel 3
KEYCHANGE_QUICKSLOT4	Nivel 4
KEYCHANGE_RIDE	Mount
KEYCHANGE_RIDE_BYE	Elibereazã cal
KEYCHANGE_RIDE_HORSE	Mount
KEYCHANGE_RIDE_PEED	Hrãneºte cal
KEYCHANGE_RIGHT1	Dreapta
KEYCHANGE_RIGHT2	Dreapta
KEYCHANGE_ROOT1	Ridicã
KEYCHANGE_ROOT2	Ridicã
KEYCHANGE_SAVE	Salveazã
KEYCHANGE_SCREENSHOT	Capturã ecran
KEYCHANGE_SHOW_NAME	Aratã numele
KEYCHANGE_SKILL_WINDOW	Abilitãþi
KEYCHANGE_SLOT1	Slot 1
KEYCHANGE_SLOT2	Slot 2
KEYCHANGE_SLOT3	Slot 3
KEYCHANGE_SLOT4	Slot 4
KEYCHANGE_SLOT5	Slot 5
KEYCHANGE_SLOT6	Slot 6
KEYCHANGE_SLOT7	Slot 7
KEYCHANGE_SLOT8	Slot 8
KEYCHANGE_SLOT_KET	Acces Rapid
KEYCHANGE_STATUS_WINDOW	Nivel 5
KEYCHANGE_UP1	Înainte
KEYCHANGE_UP2	Înainte
LOAD_ERROR	Fiºierul cu date este stricat. Instaleazã din nou clientul. Apasã acum tasta ESC.
LOGIN_CONNECT	Conecteazã
LOGIN_CONNECTING	Conectarea la server ruleazã.
LOGIN_DEFAULT_SERVERADDR	Emeria
LOGIN_EXIT	Închide
LOGIN_REGION_TITLE	Alege regiunea
LOGIN_SELECT_BUTTON	Alege
LOGIN_SELECT_EXIT	Închide
LOGIN_SELECT_OK	Ok
LOGIN_SELECT_TITLE	Alege server
MALL_PASSWORD_TITLE	Parolã
MALL_TITLE	Depozit Magazin Obiecte
LAGER_TITLE	Magazin
MARKET_TITLE	Magazin
MARKLIST_REFRESH	Actualizeazã
MARKLIST_TITLE	Înregistreazã simbolul breslei
MC_EXCHANGE_BUTTON	Schimb
MC_MISSION_INIT_BUTTON	Reseteazã Nivel Misiune
MC_MOTION_BUTTON	Miºcare
MC_POLY_BUTTON	Transformã
MC_PROMOTION_BUTTON	Promoveazã
MC_REQUEST_MISSION_BUTTON	Acceptã Misiunea
MC_REWARD_CARD_BUTTON	Colecteazã Card Monstru
MC_SHUFFLE_BUTTON	Carduri Misiuni Modificate
MC_SUMMON_BUTTON	Cheamã
MC_TAB_BUTTON_CARD_MISSION	Card Misiune
MC_TAB_BUTTON_PARTY	Colecþie Temniþã
MC_TAB_BUTTON_SOLO	Deschide Colecþia Lumii
MC_WARP_BUTTON	Teleport
MESSAGE	.
MESSENGER_ADD_FRIEND	Adaugã prieten
MESSENGER_BLOCK_FRIEND	Blocheazã
MESSENGER_DELETE_FRIEND	ªterge
MESSENGER_MOBILE	Trimite SMS
MESSENGER_OPEN_GUILD	Deschide fereastra breslei
MESSENGER_TITLE	Prieteni
MESSENGER_USE_GUILD_MOVE_SKILL	Foloseºte Competenþa de miºcare a breslei
MESSENGER_WHISPER	ªoaptã
MINIMIZE	Minimeazã
MINI_GAME_RUMI_DISCARD_TEXT	Modul Sigur
MINI_GAME_RUMI_EXIT	Sfârºit
MINI_GAME_RUMI_LBUTTON_DESC	Stânga mouse sã adaugi card
MINI_GAME_RUMI_RBUTTON_DESC	Dreapta mouse sã renunþi la card
MINI_GAME_RUMI_SCORE	Scor
MINI_GAME_RUMI_START_TEXT	Start
MINI_GAME_RUMI_TITLE	Metin2 Jocul Okey cu Carduri
MOUSEBUTTON_ATTACK	Atacã
MOUSEBUTTON_AUTO_ATTACK	Atacã automat
MOUSEBUTTON_CAMERA	Camerã
MOUSEBUTTON_SKILL	Abilitãþi
MUSICLIST_TITLE	Alege muzica
MYSHOP_DECO_CANCEL	Închide
MYSHOP_DECO_DEFAULT	Standard
MYSHOP_DECO_NEXT	Urmãtorul
MYSHOP_DECO_OK	Confirmã
MYSHOP_DECO_PREV	Înapoi
MYSHOP_DECO_SELECT_MODEL	Alege aspectul magazinului.
MYSHOP_DECO_SELECT_TITLE	Alege aspectul numelui.
NO	Nu
OK	Ok
OPPOSITES	Refuzã
OPTION_ALWAYS_SHOW_NAME	Nume
OPTION_ALWAYS_SHOW_NAME_OFF	limitat
OPTION_ALWAYS_SHOW_NAME_PARTIAL	partial
OPTION_ALWAYS_SHOW_NAME_ON	totdeauna
OPTION_BLOCK	Blocheazã
OPTION_BLOCK_EXCHANGE	Negociazã
OPTION_BLOCK_FRIEND	Prieteni
OPTION_BLOCK_GUILD	Alianþã
OPTION_BLOCK_PARTY	Grup
OPTION_BLOCK_PARTY_REQUEST	Cerere
OPTION_BLOCK_WHISPER	ªoaptã
OPTION_CAMERA_DISTANCE	Camerã
OPTION_CAMERA_DISTANCE_LONG	Departe
OPTION_CAMERA_DISTANCE_SHORT	Aproape
OPTION_DELETE_MOBILE_BUTTON	ªterge numãr mobil
OPTION_EFFECT	Afiºare lovituri
OPTION_ENV_EFFECT	Ambiantã
OPTION_ENV_EFFECT_OFF	Off
OPTION_ENV_EFFECT_ON	On
OPTION_FOG	Ceaþã
OPTION_FOG_DENSE	Mult
OPTION_FOG_LIGHT	Puþin
OPTION_FOG_MIDDLE	Mediu
OPTION_FOG_OFF	Off
OPTION_FOG_ON	On
OPTION_INPUT_MOBILE_BUTTON	Introdu numãr mobil
OPTION_KEY_SETTING	Tastaturã
OPTION_MOBILE	Mobil
OPTION_MOB_INFO	Info Mob
OPTION_MOB_INFO_AGGR	Agresiv
OPTION_MOB_INFO_LEVEL	Nivel
OPTION_MUSIC	Muzicã
OPTION_MUSIC_CHANGE	Schimbã
OPTION_MUSIC_DEFAULT_THEMA	Muzicã standard Metin2
OPTION_NAME_COLOR	Nume culoare
OPTION_NAME_COLOR_EMPIRE	Culoare regat
OPTION_NAME_COLOR_NORMAL	Normal
OPTION_NIGHT_MODE	Noapte
OPTION_NIGHT_MODE_OFF	Off
OPTION_NIGHT_MODE_ON	On
OPTION_PVPMODE	Mod PvP
OPTION_PVPMODE_FREE	Liber
OPTION_PVPMODE_FREE_TOOLTIP	Poþi ataca toþi jucãtorii.
OPTION_PVPMODE_GUILD	Alianta
OPTION_PVPMODE_GUILD_TOOLTIP	Poþi ataca toti jucãtorii cu excepþia membrilor breslei.
OPTION_PVPMODE_PEACE	Pace
OPTION_PVPMODE_PEACE_TOOLTIP	Nu poþi ataca jucãtori ai regatului tãu.
OPTION_PVPMODE_REVENGE	Inamic
OPTION_PVPMODE_REVENGE_TOOLTIP	Poþi ataca doar jucãtori de alt etos.
OPTION_SALESTEXT	Numele magazinului
OPTION_SALESTEXT_VIEW_OFF	închide
OPTION_SALESTEXT_VIEW_ON	deschide
OPTION_SETTING	Deschis
OPTION_SNOW_MODE	Ninsoare
OPTION_SNOW_MODE_OFF	Off
OPTION_SNOW_MODE_ON	On
OPTION_SNOW_TEXTURE_MODE	Zapada
OPTION_SNOW_TEXTURE_MODE_OFF	Off
OPTION_SNOW_TEXTURE_MODE_ON	On
OPTION_SOUND	Efecte
OPTION_TARGET_BOARD	Meniu þintã
OPTION_TARGET_BOARD_NO_VIEW	Închide
OPTION_TARGET_BOARD_VIEW	Afiºeazã
OPTION_TILING	Memoria video
OPTION_TILING_APPLY	Aplicã
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
OPTION_TITLE	Opþiuni
OPTION_VIEW_CHAT	Linie de chat
OPTION_VIEW_CHAT_OFF	închide
OPTION_VIEW_CHAT_ON	deschide
PARTY_MEMBER_INFO_NAME	Nume membru grupã
PASSWORD_DESC_1	Introdu parola
PASSWORD_DESC_2	pentru a deschide depozitul.
PASSWORD_DESC_3	Ai schimbat parola deja
PASSWORD_DESC_4	Daca nu, parola ta va fi '000000'.
PASSWORD_DESC_5	Schimba parola la depozit.
PASSWORD_TITLE	Salvare parolã
PET_FEED_TITLE	Hrãneºte
PET_FFED_BUTTON_TEXT	Hrãneºte
PET_HATCHING_BUTTON	Numeºte
PET_HATCHING_NIK	Nume Însotitor
PET_HATCHING_WINDOW_TITLE	Incubator
PET_INFORMATION_ABILITIES	Bonusuri
PET_INFORMATION_AGE	Vârstã
PET_INFORMATION_COSTUME_BONUS	Bonus costum
PET_INFORMATION_DEFENCE	Apãrare
PET_INFORMATION_EVOL_BUTTON	Evolutie
PET_INFORMATION_EXP	Experienþã
PET_INFORMATION_EXP_BUTTON	EXP Obiect
PET_INFORMATION_HP	PV
PET_INFORMATION_LEVEL	Nivel
PET_INFORMATION_LIFE	Duratã
PET_INFORMATION_LIFETIME_BUTTON	Hraneºte
PET_INFORMATION_LIFE_TIME	Ore
PET_INFORMATION_SKILL	Abilitãþi
PET_INFORMATION_SP	Atac
PET_INFORMATION_TITLE	Însoþitor
PET_NAME_CHANGE_BUTTON	Schimbã
PET_NAME_CHANGE_WINDOW_TITLE	Schimbã Numele
PICK_MONEY_TITLE	Împarte
PRIVATESHOPSEARCH_BUY	Cumpãrã
PRIVATESHOPSEARCH_COUNT	Cantitate
PRIVATESHOPSEARCH_ITEMNAME	Nume
PRIVATESHOPSEARCH_ITEMTYPE	Obiecte
PRIVATESHOPSEARCH_JOB	Clasã
PRIVATESHOPSEARCH_LEVEL	Nivel
PRIVATESHOPSEARCH_PRICE	Preþ
PRIVATESHOPSEARCH_REFINE	Nivel Obiect
PRIVATESHOPSEARCH_SEARCH	Cãutare
PRIVATESHOPSEARCH_SEARCH_BAR	Cãutare
PRIVATESHOPSEARCH_SELECT	Selecteazã
PRIVATESHOPSEARCH_SELLER	Vânzãtor
PRIVATE_SHOP_CLOSE_BUTTON	Închide magazin
PRIVATE_SHOP_NAME	Numele magazinului
PRIVATE_SHOP_TITLE	Deschide propriul magazin
REFINE_COST	Costuri de îmbunãtãþire: 0 Yang
REFINE_INFO	Sansa de upgrade reusit: 100%
REFINE_MONEY	Cost Rafinare
REFINE_SELECT	Rafinare
REFINE_TTILE	Îmbunãtãþiri
REPORT_VIOLENT_WHISPER	
RESTART_HERE	Restarteazã aici
RESTART_IMMEDIATE	Reîncarnare
RESTART_TOWN	Restarteazã în oraº
SAFE_CHANGE_PASSWORD	Schimbã parola
SAFE_TITLE	Depozit
SELECT_ATTR_CHANGED	Nou
SELECT_ATTR_CURRENT	Actual
SELECT_ATTR_SELECT	Alege
SELECT_ATTR_TITLE	Vrãjeºte Obiectul+
SELECT_ATT_GRADE	STR
SELECT_CREATE	Creeazã
SELECT_DELETE	ªterge
SELECT_DEX_GRADE	DEX
SELECT_EMPIRE_NAME	Numele regatului
SELECT_EXIT	Ieºire
SELECT_HP	VIT
SELECT_LEVEL	Nivel
SELECT_METIN_STONE_TITLE	Selecteazã Piatra Spiritului
SELECT_NAME	Nume
SELECT_NO_GUILD	Nicio breaslã
SELECT_SELECT	Start
SELECT_SP	INT
SELECT_TITLE	Alege titlu
SHOP_BUY	Cumpãrã
SHOP_SELL	Vinde
SHOP_TITLE	Magazin
SKILL_SUPPORT_TITLE	Abilitãþi Standard
STEP	Grad de claritate
STEP_SELECT	Grad de claritate
STRENGTH	Întarire
STRENGTH_SELECT	Nivel
STRUCTURE_VIEW_MODE	Decoraþiune
STRUCTURE_VIEW_TYPE_STRUCTURE	Ascunde
SYSTEMOPTION_TITLE	Opþiuni sistem
SYSTEM_CHANGE	Schimbã caracterul
SYSTEM_EXIT	Ieºire joc
SYSTEM_HELP	Ajutor
SYSTEM_LOGOUT	Logout
SYSTEM_MALL	Magazin Obiecte
SYSTEM_MOVE_CHANNEL	Schimbã Canal
SYSTEM_OPTION	Opþiuni sistem
TASKBAR_CHARACTER	Caracter[C/V/B/N]
TASKBAR_CHAT	Fereastrã chat [ENTER ]
TASKBAR_DISABLE	Dezactivat
TASKBAR_DRAGON_SOUL	Alchimie Piatrã Dragon
TASKBAR_EXPAND	Extinde Fereastra
TASKBAR_INVENTORY	Inventar [I]
TASKBAR_MESSENGER	Prieteni [ALT + M]
TASKBAR_NEXT_QUICKSLOT	Urmãtorul câmp de acces rapid [Shift+Numãr, Alt]
TASKBAR_PET_INFO	Info Însoþitor
TASKBAR_PREV_QUICKSLOT	Ultimul câmp de acces rapid [Shift+Numãr]
TASKBAR_SYSTEM	Opþiuni[ESC]
TASKBAR_OFFSHOP	Offline Shop
TOTAL_RANKING	Ranguri Totale
WEEKLY_RANKING	Ranguri Sãptãmânale
OPTION_SALESTEXT_RANGE	Nume de piaþã
SHOP_NAME	Numele magazinului
SHOP_TIMEOUT	Timp Magazin
SHOP_CREATE	Deschide magazin
SHOP_CREATE_PRICE	Cost:
SHOP_CREATE_HOURS	Ore
SHOP_CREATE_HOUR	Ore
SHOP_CREATE_DAY	Zi
SHOP_CREATE_DAYS	Zile
SHOP_CREATE_NORMAL	Magazin normal
SHOP_NAME_EMPTY	Introduceþi numele magazinului
SHOP_TIMEOUT_EMPTY	Selecteazã timp
SHOP_WINDOW_NAME	Magazinul dvs
SHOP_WINDOW_CREATE	Crearea pieþei
SHOP_GET_YANG	Scoate Yang
SHOP_CHANGE_NAME	Schimba nume
SHOP_ENTER_NEW_NAME	Introduceþi noul nume
SHOP_CLOSE	Închideþi piaþa
SHOP_CLOSE_QUEST	Sunteþi sigur cã închideþi „%s”
SHOP_MANAGE	Modificã
SHOP_OPEN	Creaþi piaþã
SHOP_EDIT	Modificã
SHOP_REMOVE_ITEM	Scoate
SHOP_CHANGE_PRICE	Schimbã preþ
SHOP_EDIT_SHOP_WINDOW	Modificã shop
SHOP_EDIT_SHOP_CANCEL	Anuleazã modificare
SHOP_REMOVE_ITEM_QUEST	Sigur doriþi sã ºtergeþi acest articol?
SHOP_SELECT	Alege
SHOP_NOT_EARNED_YANG	Nu ai câºtigat niciun ban!
SHOP_YANG_QUEST	Sunteþi sigur cã doriþi sã vã retrageþi câºtigurile?
SHOP_INFORMATION	Informaþii de piaþã
SHOP_EARNED_YANG	Bani castigaþi:
SHOP_SOLD_ITEMS	Obiecte vândute: 
SHOP_REST_ITEMS	Obiecte rãmase: 
SHOP_TIME_TO_CLOSE	Timp magazin
GIFT_WINDOW_NAME	Offline Shop
GIFT_PREV_PAGE	Pagina precedentã
GIFT_NEXT_PAGE	Pagina urmãtoare
GIFT_FROM	Da
GIFT_REASON	Motiv
GIFT_GET_ALL	Ia totul
GIFT_GET_QUEST	Sigur doriþi sã obþineþi „%s”º
GIFT_GET_QUEST_ALL	Eºti sigur cã vrei sã iei toate articolele
GIFT_MONEY_DESC	Ai câºtigat bani din magazinul tãu.
SHOP_SELECT_TIME	Selecteazã
WHISPER_BAN	Blocheazã
WHISPER_NAME	Nume
WHISPER_REPORT	
WHISPER_SEND	Trimite
YES	Da.
ZONE_MAP	Harta mare
COMB_TITLE	Bonus Transfer
COMB_APPEARANCE	Costum 1
COMB_ATTRIBUTE	Costum 2
FRAGMENT_COMB_TITLE	Combinã carþi abilitate
ATTR_67_ADD	Adaugã Bonus
ATTR_67_ADD_TITLE	Adaugã Bonus
ATTR_67_MATERIAL_SLOT_TITLE	Powershards
ATTR_67_REGIST_SLOT_TITLE	Target Item
ATTR_67_SUPPORT_SLOT_TITLE	Additive
WONEXCHANGE_TITLE	Schimbã valuta
WONEXCHANGE_TITLE_SELL	Vinde Won
WONEXCHANGE_TITLE_BUY	Cumpara Won
DECORUM	Punti Eroe
DECORUM_MATCH	Vittorie: %d / Partecipazioni: %d
DECORUM_DUEL	Duelli Eroe
DECORUM_GENERAL	Generali
DECORUM_PROMOTION	Promozioni: %d
DECORUM_DEMOTION	Retrocessioni: %d
DECORED_KILLS	Uccisioni D.: %d
DECORED_DEATH	Morti D.: %d
DECORUM_ARENA1	Arene 2vs2
DECORUM_ARENA2	Arene 3vs3
DECORUM_ARENA3	Arene 5vs5
DECORUM_BLOCK_DUEL	Duello
DECORUM_BLOCK_ARENA1	2vs2
DECORUM_BLOCK_ARENA2	3vs3
DECORUM_BLOCK_ARENA3	5vs5
DECORUM_BLOCK	Modalità in cui sei disponibile
DECORUM_LEGUE	Lega: %s %s
DECORUM_LEGUE_1	Ferro
DECORUM_LEGUE_2	Bronzo
DECORUM_LEGUE_3	Argento
DECORUM_LEGUE_4	Oro
DECORUM_LEGUE_5	Diamante
DECORUM_ACCEPT_ARENA	Vuoi partecipare a un'Arena %sº
DECORUM_ARENA_NAME	Arena %s
DECORUM_END_STATS	[Kill / Morti] (Danni Fatti / Danni Subiti)
