TOOLTIP_AFFECT_POTION_7	Rouã Roz	SNA
SELL_PRICE_INFO	[Preþul de vânzare]
MAP_MONKEY_DUNGEON	Hasun Dong
MAP_MONKEY_DUNGEON2	Jungsun Dong
MAP_MONKEY_DUNGEON3	Sangsun Dong
MAP_MONKEY_DUNGEON_11	Hasun Dong
MAP_MONKEY_DUNGEON_12	Hasun Dong
MAP_MONKEY_DUNGEON_13	Hasun Dong
MAP_MT_THUNDER	Munþii Thunder
MAP_MT_TH_DUNGEON_01	Templul Ochao
MAP_NUSLUCK	Tãrâmul Giganþilor
MAP_NUSLUCK01	Tãrâmul Giganþilor
MAP_N_DESERT_01	Desertul Yongbi
MAP_N_DESERT_02	
MAP_N_FLAME_01	Tara de Foc
MAP_N_FLAME_02	
MAP_N_FLAME_DRAGON	Adãpostul lui Meley
MAP_N_FLAME_DUNGEON_01	Fortãreaþa Dragonului Roºu
MAP_N_SNOWM_01	Muntele Sohan
MAP_N_SNOWM_02	
MAP_N_SNOW_DUNGEON_01	Turnul lui Nemere
MAP_N_THREEWAY	Valea Seungryong
MAP_OXEVENT	Concurs OX
MAP_PATHWAY_DESERT_01	Desert Batalia Regatului
MAP_PATHWAY_DESERT_02	Desert Batalia Regatului
MAP_PATHWAY_DESERT_03	Desert Batalia Regatului
MAP_PATHWAY_FLAME_01	Tara de Foc Batalia Regatului
MAP_PATHWAY_FLAME_02	Tara de Foc Batalia Regatului
MAP_PATHWAY_FLAME_03	Tara de Foc Batalia Regatului
MAP_PATHWAY_ICE_01	Þara Îngheþatã Bãtãlia Regatelor
MAP_PATHWAY_ICE_02	Taramul Jocului
MAP_PATHWAY_ICE_03	Þara Îngheþatã Bãtãlia Regatelor
MAP_PRIVATE_SHOP_MAP	Piaþã
MAP_SKELTOWER	Turnul Gumsan
MAP_SKIPIA_DUNGEON_01	Grota Exilului
MAP_SKIPIA_DUNGEON_011	
MAP_SKIPIA_DUNGEON_012	
MAP_SKIPIA_DUNGEON_013	
MAP_SKIPIA_DUNGEON_02	Grota Exilului 2
MAP_SKIPIA_DUNGEON_021	
MAP_SKIPIA_DUNGEON_022	
MAP_SKIPIA_DUNGEON_023	
MAP_SKIPIA_DUNGEON_BOSS	Templul Dragonului
MAP_SKIPIA_DUNGEON_BOSS_1	Temnita Paianjenilor 1
MAP_SKIPIA_DUNGEON_BOSS_2	Temnita Paianjenilor 2
MAP_SKIPIA_DUNGEON_BOSS_3	Vizuina Reginei
MAP_SNAKE_TEMPLE_1	Nivelul 1 al Templului ªarpelui
MAP_SNAKE_TEMPLE_2	Templul ºarpelui
MAP_SNAKE_VALLEY	Yilad Pass
MAP_SNOW	Muntele Sohan
MAP_SPIDER	Kuahlo Dong
MAP_SPIDERDUNGEON	Temniþa Pãianjenilor 1
MAP_SPIDERDUNGEON_02	Temniþa Pãianjenilor 2
MAP_SPIDERDUNGEON_02_1	Temniþa Pãianjenilor 2
MAP_SPIDERDUNGEON_03	Temniþa Pãianjenilor 3
MAP_SUNGMAHEE_TOWER_DUNGEON	Turnul Sung Mahi
MAP_SUNGMAHEE_TOWER_WAIT	Hol de intrare
MAP_SUNGZI	Bãtãlia Regatului
MAP_SUNGZI_DESERT_01	Deºert Batalia Regatului
MAP_SUNGZI_DESERT_HILL_01	Deºert Batalia Regatului
MAP_SUNGZI_DESERT_HILL_02	Deºert Batalia Regatului
MAP_SUNGZI_DESERT_HILL_03	Deºert Batalia Regatului
MAP_SUNGZI_FLAME_HILL_01	Þara de Foc Batalia Regatului
MAP_SUNGZI_FLAME_HILL_02	Þara de Foc Batalia Regatului
MAP_SUNGZI_FLAME_HILL_03	Þara de Foc Batalia Regatului
MAP_SUNGZI_SNOW	Ice Land Kingdom Battle
MAP_SUNGZI_SNOW_PASS01	Þara Îngheþatã Bãtãlia Regatelor
MAP_SUNGZI_SNOW_PASS02	Þara Îngheþatã Bãtãlia Regatelor
MAP_SUNGZI_SNOW_PASS03	Þara Îngheþatã Bãtãlia Regatelor
MAP_T1	Zona de Lupta Breasla
MAP_T2	Zona de Lupta Breasla
MAP_T3	Zona de Lupta Breasla
MAP_T4	Zona de Lupta Breasla
MAP_TEMPLE	Templul Hwang
MAP_THUNDER	Muntii Thunder
MAP_TREE	Lungsam
MAP_TRENT	Padurea Fantoma
MAP_TRENT02	Padurea Rosie
MAP_TRENT02_A	Padurea Rosie
MAP_TRENT_A	
MAP_WEDDING_01	Harta nunþii
MAP_WL	Câmpul de ºerpi
MAP_WL_01	Câmpul de ºerpi
DUNGEON_INFO_TOOL_TIP	Informaþii despre temniþã
DUNGEON_INFO_TOOL_TIP_01	În aceastã fereastrã puteþi gãsi toate temniþele disponibile.
DUNGEON_INFO_TOOL_TIP_02	Fiecare temniþã listatã în panoul din stânga afiºeazã mai multe
DUNGEON_INFO_TOOL_TIP_03	informaþii despre acesta ºi aratã ce elemente
DUNGEON_INFO_TOOL_TIP_04	ºi ce primeºti de la acel sef.
DUNGEON_INFO_TOOL_TIP_05	De asemenea, vã puteþi teleporta la intrarea
DUNGEON_INFO_TOOL_TIP_06	temniþã dacã este disponibilã.
DUNGEON_INFO_TOOL_TIP_07	În panoul din dreapta puteþi gãsi ºi rezultatele dvs
DUNGEON_INFO_TOOL_TIP_08	ca un clasament global al primilor 10 jucãtori.
DUNGEON_INFO_STATUS_CLOSED	Închis
DUNGEON_INFO_STATUS_AVAILABLE	Disponibil
DUNGEON_INFO_STATUS_COOLDOWN	Timp rãmas
DUNGEON_INFO_STATUS_HIGH_LEVEL	Nivel prea scãzut!
DUNGEON_INFO_STATUS_LOW_LEVEL	Nivel prea mare!
DUNGEON_INFO_DO_YOU_TELEPORT	Doriþi sã vã teleportaþi de la %s?
DUNGEON_INFO_ELEMENT_ATK_BONUS	Atacul bonus
DUNGEON_INFO_ELEMENT_DEF_AND_RES_BONUS	Bonusuri de apãrare ºi rezistenþã
DUNGEON_INFO_ELEMENT_UNKOWN_BONUS	Bonus necesar necunoscut
DUNGEON_INFO_TYPE_01	Global
DUNGEON_INFO_TYPE_02	Grupa
DUNGEON_INFO_TYPE_03	Breaslã
DUNGEON_INFO_TYPE	Tip : %s
DUNGEON_INFO_LEVEL_LIMIT	Nivel limitã: %d din %d
DUNGEON_INFO_PARTY_LIMIT	Limita membrilor din grupã: %d din %d
DUNGEON_INFO_DURATION	Durata : %s
DUNGEON_INFO_COOLDOWN	Timp rãmas: %s
DUNGEON_INFO_LOCATION	Locaþie: %s
DUNGEON_INFO_ENTRACE	Intrare: %s
DUNGEON_INFO_TOTAL_FINISHED	Total finalizate : %d
DUNGEON_INFO_FASTEST_TIME	Cel mai bun timp: %s
DUNGEON_INFO_HIGHEST_DMG	Daune mai bune: %s
DUNGEON_INFO_NONE	Nimeni
DUNGEON_INFO_MINIMAP_TOOL_TIP	Informaþii despre temniþã
DUNGEON_INFO_NOT_FOUND	Nu s-au gãsit temniþe.
DUNGEON_RANKING_TOTAL_FINISHED	Total finalizate
DUNGEON_RANKING_FASTEST_TIME	Timp mai bun
DUNGEON_RANKING_HIGHEST_DMG	Daune mai bune
DUNGEON_RANKING_POINTS	Puncte
REVIVE_AUTO_TOWN_MESSAGE	Întoarceþi-vã în oraº în: {}
CHATTING_SETTING_ADD	Adãugaþi filã
CHATTING_SETTING_ADD_MAX	Nu mai puteþi adãuga.
CHATTING_SETTING_CHANGE_TITLE_NAME	Doriþi sã salvaþi numele pentru acest chat?
CHATTING_SETTING_CHANGE_TITLE_NOT	Numele chatului general nu poate fi schimbat.
CHATTING_SETTING_CLEAR_QUESTION	Resetare?
CHATTING_SETTING_DEL	ªterge câmpul
CHATTING_SETTING_LANGUAGE_OFF	Off
CHATTING_SETTING_LANGUAGE_ON	On
CHATTING_SETTING_QUESTION_DESC_1	1. Seteazã un mesaj pentru EXP câºtigat din uciderea monºtrilor sau EXP pierdut.
CHATTING_SETTING_QUESTION_DESC_2	2. Seteazã un mesaj pentru prada aruncatã ºi Yang câºtigat.
CHATTING_SETTING_RETURN	Restore field
CHATTING_SETTING_SETTING	Setãri
GUILD_MAIN_WAR	Rãzboaie majore
GUILD_WINNING_WAR	Victorie
GUILD_DRAW_WAR	remizã
GUILD_MY_WARS	Rãzboaiele mele
GUILD_LOG_STATISTICS	Statistici
GUILD_LOG_LEADER	Lider
GUILD_LOG_TOTAL_PLAYER	Total jucãtori
GUILD_LOG_TOTAL_KILL	Total jucãtori uciºi
GUILD_LOG_TOTAL_DEAD	Total decese
GUILD_LOG_TOTAL_DMG	Daune totale cu abilitãþile
GUILD_LOG_TOTAL_ONLINE	Total Online
GUILD_LOG_TOTAL_OFFLINE	Total Offline
GUILD_LOG_TOTAL_SPY	Total Spectatori
GUILDWAR_STATIC_SEE	Vizionaþi Statistici
GUILDWAR_STATIC_SPY_ASK	Vrei sã-l loveºti pe %s?
GULDWAR_STATIC_CANT_OBSERVER	Fãrã Spectatori
GULDWAR_STATIC_MAXPLAYER	Jucãtori maximi: %d
GULDWAR_STATIC_MAXSCORE	Scor maxim: %d
RONARK_OBSERVER	Spectatori: %d
GULDWAR_STATIC_AGAINST	Diferenþã: %d
GUILDWAR_STATIC_TOTAL_INFO	Statistici generale
GUILDWAR_STATIC_DEAD	Mort
GUILDWAR_STATIC_DMG	Daune maxime
GUILDWAR_STATIC_NAME	Nume
GUILDWAR_STATIC_KILL	Crime
GUILDWAR_STATIC_GUILD	Breaslã
GUILDWAR_STATIC_CAMERA	Camerã
GEM_SYSTEM_ADD_SLOT_0	Element necesar: %s.
GEM_SYSTEM_ADD_SLOT_1	Doriþi sã folosiþi %d dintre ele pentru a debloca un slot suplimentar?
GEM_SYSTEM_BUY_ITEM	Doriþi sã cumpãraþi acest articol?
GEM_SYSTEM_NAME	Gaya
GEM_SYSTEM_NOT_ENOUGHT_REFRESHITEM	[Gaya] Nu aveþi suficiente articole Refresh Gaya Market.
GEM_SYSTEM_NOT_ENOUGHT_ADDITEM	[Gaya] Nu aveþi suficiente articole %s. Aveþi nevoie de mai multe %d pentru a debloca un slot suplimentar.
GEM_SYSTEM_NOT_ENOUGH_HP_GEM	[Gaya] Nu ai suficiente Gaya.
GEM_SYSTEM_NO_MORE_ADDSLOT	[Gaya] Nu mai ai locuri de deblocat.
GEM_SYSTEM_OPEN_GEMSHOP	[Gaya] Deschide Piaþã Gaya mai întâi.
GEM_SYSTEM_PICK_GEM	[Gaya] Cantitate Gaya: %d
GEM_SYSTEM_REFRESH_SHOP_ITEMS	Doriþi sã reîmprospãtaþi magazinul?
RESTART_CLIENT_DO_YOU_ACCEPT_1	Clientul trebuie repornit.
RESTART_CLIENT_DO_YOU_ACCEPT_2	Îl poþi reporni acum? Trebuie sã-l redeschideþi din autopatcher.
SOUL_ITEM_TOOLTIP_APPLY	Efectul este activat
SOUL_ITEM_TOOLTIP_BLUE1	Timp de joc: %d/%d min. 
SOUL_ITEM_TOOLTIP_BLUE2	Daune abilitate crescute cu x%.1f pentru timpul jucat
SOUL_ITEM_TOOLTIP_COMMON	Nu ºi pentru PvP, Transformare
SOUL_ITEM_TOOLTIP_RED1	Timp de joc: %d/%d min. 
SOUL_ITEM_TOOLTIP_RED2	Daune atac crescut cu x%.1f pentru timpul jucat
SOUL_ITEM_TOOLTIP_REMAIN_COUNT	Atacuri rãmase: %d
SOUL_ITEM_TOOLTIP_REMOVE_TIME	Spiritul expirã în
SOUL_ITEM_TOOLTIP_UNAPPLIED	Efectul nu este activat
SOUL_REFINE_FAILURE	Rafinarea a eºuat.
SOUL_REFINE_SUCCESS	Rafinare reuºitã!
TIME_MIN_SEC	%dMin:%dSec
TIME_MIN	%dMin
CANNOT_CHANGE_FIGHT_MODE	Nu puteþi schimba modul de luptã de pe aceastã hartã.
SC_PICK_ITEM	Ai primit %s.
SC_PICK_MONEY	Ai primit %s.
ROULETTE_REWARD_TEXT	Colectaþi obiectul
SWITCHER_HIGH_BONUS	Unele bonusuri au valoare foarte mare! Doriþi sã continuaþi?
QUEST_CATEGORY_00	Misiuni principale
QUEST_CATEGORY_01	Misiuni secundare
QUEST_CATEGORY_02	Misiuni de vânãtoare
QUEST_CATEGORY_03	Misiuni de eveniment
QUEST_CATEGORY_04	Misiuni de biolog
QUEST_CATEGORY_05	Misiuni de joc
QUEST_CATEGORY_06	Misiuni de carte
QUEST_CATEGORY_07	Sarcini zilnice
YENILE_BUTTON_TITLE	Comandã inventarul
YENILE_BUTTON	Faceþi clic pentru a comanda inventarul.
YENILE_BUTTON2	Va trebui sã asteptaþi 15 secunde pentru a o reface.
YENILE_BUTTON3	Unele articole vor fi trimise la depozitul special.
AURA_ITEM_NEED_EXP	Aura ta are nevoie de EXP!
AURA_REFINE_SUCCESS	Rafinamentul aurei complet.
AURA_ABS_SUCCESS	Absorbþie completã a aurei.
AURA_EVO_SUCCESS	Aura evoluta con suuccesso.
AURA_EVOLUTION_GOLD	[Aura] Yang insuficient pentru evoluare.
AURA_IMPOSSIBLE_ABSORBITEM	[Aura] Obiectul transmis nu poate fi utilizat.
AURA_IMPOSSIBLE_EQUIPITEM	[Aura] Obiectele echipate nu pot fi transmise.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[Aura] Nu poate fi evoluat.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[Aura] Numãrul de obiecte nu este suficient pentru evoluare.
AURA_IMPOSSIBLE_GROWTHITEM	[Aura] Nu poate fi îmbunãtãþit.
AURA_IMPOSSIBLE_REFINEITEM	[Aura] Doar un Costum Aura, Colier, Cercel sau Banderolã pot fi folosite.
AURA_IMPOSSIBLE_SEALITEM	[Aura] Obiectele personalizate nu pot fi transmise.
AURA_ITEM_NEED_REGISTER	[Aura] Obiectul trebuie inserat.
AURA_LEVEL_STEP	Nivel %d (Stagiu %d)
AURA_MAX_LEVEL	[Aura] Costumul Aura a ajuns la nivelul maxim.
AURA_NOTICE_DEL_ABSORDITEM	[Aura] Obiectul transmis va fi distrus.
AURA_OPEN_OTHER_WINDOW	Nu poþi face asta în timp ce este deschisã o ferestrã pentru îmbunãtãþire, evoluþie sau transfer de statusuri.
AURA_POSSIBLE_AURAITEM	[Aura] Doar Costum Aura poate fi folosit.
AURA_POSSIBLE_REGISTER_AURAITEM	[Aura] Costum Aura trebuie inserat mai întâi.
AURA_TITLE_ABSORB	Transmite valorile în Costum Aura.
AURA_TITLE_EVOLUTION	Evoluþie Costum Aura
AURA_TITLE_GROWTH	Îmbunãtãþire Costum Aura
AURA_TOOLTIP_EXP	EXP (%d / 100)
AURA_TOOLTIP_LEVEL	Nivel %d (Stagiu %d) (Ratã de absorbþie %.1f%%)
AURA_TOOLTIP_ABS	Absorbþie ( %.1f )
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Nou
AURA_TOOLTIP_NOW	Actual
AURA_TOOLTIP_RESOURCE	Consumabile
AURA_TOOLTIP_RESOURCE_ITEM	Nu aveþi %s articol.
DUNGEON_INFO_YOUCANENTER	Poþi intra!
DUNGEON_INFO_YOUCANTENTER	Neaccesibil!
DUNGEON_INFO_ORGANIZATION0	Nu
DUNGEON_INFO_ORGANIZATION1	Party
DUNGEON_INFO_ORGANIZATION2	Breaslã
DUNGEON_INFO_ORGANIZATION3	Party - Individual
DUNGEON_INFO_ORGANIZATION4	Shaman & Ninja
DUNGEON_INFO_ORGANIZATION5	Lycan
DUNGEON_INFO_TYPE0	Nul
DUNGEON_INFO_TYPE1	Special
DUNGEON_INFO_TYPE2	Global
CHECKSEARCH	Sunteþi sigur cã doriþi sã cumpãraþi articolul?
CHANGE_LOOK_COST	Costuri de transformare: %s Yang
CHANGE_LOOK_FAILURE_CLEAN	Acest obiect nu a fost încã proiectat.
CHANGE_LOOK_DO_YOU_CLEAN	Doriþi sã eliminaþi elementele proiectate?
CHANGE_LOOK_CHANGE_ITEM	Vrei sã transformi acest obiect?
CHANGE_LOOK_DEL_ITEM	Obiectul absorbit se va ºterge.
CHANGE_LOOK_TITLE	Transformare
CHANGE_TOOLTIP_LINE1	Pune în stânga obiectul ce doreºti sã îl transformi.
CHANGE_TOOLTIP_LINE2	Pune celãlalt obiect în dreapta.
CHANGE_TOOLTIP_LINE4	imediat ce confirmi transformarea (V) ºi plãteºti Yangul.
CHANGE_TOOLTIP_LINE5	Acest obiect permite
CHANGE_TOOLTIP_LINE6	Sã transformi un obiect fãrã a cheltui Yang.
CHANGE_TOOLTIP_TITLE	Transformare
MONETARY_UNIT_DISPLAYED_COUNT	Vizita
CHEQUE	Won
DO_YOU_BUY_ITEM_NEW1	Vrei sã cumperi? Element: %s Yang: %s Iarbã roºie: %s Iarbã albastrã: %s Iarbã verde: %s Iarbã violetã: %s Piatra spiritualã: %s Bar: %s Câºtigat: %s EP: %s
DO_YOU_BUY_ITEM_NEW2	Vrei sã cumperi? Element: %s %s Yang: %s Iarbã Roºie: %s Iarbã albastrã: %s Iarbã verde: %s Iarbã violetã: %s Piatra spiritualã: %s Barã: %s Câºtigat: %s EP: %s
KUTSAMA	Binecuvântare
KRITIK	Critici
YANSITMA	Reflecþie
MESSENGER_TEAM	Team & Helper
EMOTION_PUSH_UP	Flotãri
EMOTION_DANCE_7	Samba
EMOTION_EXERCISE	Încãlzit
EMOTION_DOZE	Aþipit
EMOTION_SELFIE	Selfie
EMOTION_CHARGING	Încãrcare
EMOTION_NOSAY	Mut
EMOTION_WEATHER_1	Lumina Soarelui
EMOTION_WEATHER_2	Curcubeu
EMOTION_WEATHER_3	Lunã
EMOTION_HUNGRY	Înfometat
EMOTION_SIREN	Sirenã
EMOTION_ALCOHOL	Noroc!
EMOTION_CALL	Strigã
EMOTION_CELEBRATION	Petrecere
EMOTION_LETTER	Scrisoare de Dragoste
EMOTION_BUSY	Stres
EMOTION_WHIRL	Confuz
SWITCHBOT_TITLE	Switch-bot Emeria2
SWITCHBOT_START	Start
SWITCHBOT_STOP	Stop
SWITCHBOT_EMPTY_ATTR	- Nici-unul -
SWITCHBOT_SELECT_ATTR	Selectati bonus
SWITCHBOT_CLEAR_ATTR	Sterge
SWITCHBOT_CONFIGURATION_TITLE	Bonusuri salvate
SWITCHBOT_SAVE_BUTTON	Salveaza bonusurile
SWITCHBOT_SAVE	Salveaza
SWITCHBOT_LOAD_CONFIGURATION	Aplica
SWITCHBOT_CLEAR_CONFIGURATION	Elimina
ACHIEVEMENT_PRIZE	Premiu: |cFFFFC700|h%s PO|r
ACHIEVEMENT_CATEGORY_01	Progresul caracterului
ACHIEVEMENT_CATEGORY_02	Monºtri învinºi
ACHIEVEMENT_CATEGORY_03	Metine sparte
ACHIEVEMENT_CATEGORY_04	Dominaþia ºefului
ACHIEVEMENT_CATEGORY_05	Dueluri cu jucãtorii
ACHIEVEMENT_YOUR_COINS	testestest %s
ACHIEVEMENT_STATUS	Starea realizãrii: %s/%s
ACHIEVEMENT_UNLOCKED	Test deblocat!
AURA_TUKETILEN_NESNE_BASLIK	Obiecte de cheltuit:
AURA_TUKETILEN_NESNE	Runa de gheaþã Auranin* 
AURA_LEVEL	Sv %d (Seviye %d)
AURA_EMIS	Emis Orani %
ACHIEVMENT_UNIT	PO
ACHIEVMENT_NOT_ENOUGH_AP	testestest
TARGET_BUTTON_BLOCK	Blocat
TARGET_BUTTON_UNBLOCK	Deblocat
MESSENGER_BLOCK	Blocat
MESSENGER_ADD_BLOCK_FRIEND	Adaugã
MINI_GAME_RUMI_DISCARD_QUESTION	Vrei sã distrugi cardul?
MINI_GAME_RUMI_EXIT_QUESTION	Vrei joc final?
MINI_GAME_RUMI_EXIT_QUESTION2	Veþi primi recompensã în funcþie de puncte.
MINI_GAME_RUMI_START_QUESTION	Ai nevoie de %d Yang ºi %d Kardsets pentru a juca.
MINI_GAME_RUMI_START_QUESTION2	Vrei sã te joci?
SKILL_GRADE_NAME_SAGE_MASTER	%s Sage Perfect Master
ENVANTER_ANAH_LAZIM	Sunt necesare chei de extensie.
ENVANTER_UYARI	Nu este posibilã extinderea inventarului.
ENVANTER_GENIS_1	Doriþi sã vã extindeþi inventarul de %s?
ENVANTER_ZATEN_GENIS_3	Aþi atins expansiunea maximã posibilã.
NEW_EXCHANGE_ADDED	%s adãugat %s.
NEW_EXCHANGE_YOU_READY	%s Sunteþi gata sã tranzacþionati.
NEW_EXCHANGE_YOU_ACCEPT	%s Aþi acceptat comerþul.
NEW_EXCHANGE_ACCEPT	%s %s a acceptat comerþul.
NEW_EXCHANGE_YOU_ABORT	%s Anulaþi comerþul.
NEW_EXCHANGE_ABORT	%s %s a anulat comerþul.
NEW_EXCHANGE_LEVEL	Lv. %d
NEW_EXCHANGE_ALERT1	Dai obiecte pe nimic,
NEW_EXCHANGE_ALERT2	Fii atent!
INVENTORY_SORT_DLG_MSG	Sortare inventar:
INVENTORY_SORT_DLG_MSG_2	Eºti sigur?
EXCHANGE_TITLE	Comerþ cu %s
EXCHANGE_TITLE_LEVEL	Comerþ cu %s (%d)
TARGET_INFO_DAMAGE	Dauna: %s ~ %s
TARGET_INFO_DEFENSE	Aparare: %s
TARGET_INFO_EXP	Experienta: %s
TARGET_INFO_MAINRACE	Rasa: %s
TARGET_INFO_MAX_HP	Max. PV: %s
TARGET_INFO_NO_ITEM_TEXT	Acest monstru nu dropeaza nimic.
TARGET_INFO_NO_RACE	Niciunul
TARGET_INFO_RACE_METIN	Piatra Metin
TARGET_INFO_RACE_ANIMAL	Animal
TARGET_INFO_RACE_DARK	Întuneric
TARGET_INFO_RACE_DEVIL	Diavol
TARGET_INFO_RACE_EARTH	Pãmânt
TARGET_INFO_RACE_ELEC	Electric
TARGET_INFO_RACE_FIRE	Foc
TARGET_INFO_RACE_HUMAN	Semi-om
TARGET_INFO_RACE_ICE	Gheaþã
TARGET_INFO_RACE_MILGYO	Mistic
TARGET_INFO_RACE_ORC	Orc
TARGET_INFO_RACE_UNDEAD	Vampir
TARGET_INFO_RACE_WIND	Vant
TARGET_INFO_STONE_NAME	Piatra
TARGET_INFO_SUBRACE	Element: %s
ACCE_REFINE_COST	Pretul absorbtiei: %d
ACCE_ABSORB_CHANCE	Gradul de absorbtie: %d%%
ACCE_ABSORB_CHANCE2	Gradul de absorbtie: %d%% ~ %d%%
ACCE_DO_YOU_CLEAN	Esti sigur ca vrei sa eliminii toate bonusurile?
ACCE_FAILURE_CLEAN	Nu exista niciun bonus de eliminat.
ACCE_ABSORB_COST	Pret Absorbtie: %d
ACCE_ALREADY_REGISTER	Acest obiect a fost deja folosit.
ACCE_DEL_ABSORDITEM	Absorbi obiectul, distrugandu-l inaces proces?
ACCE_DEL_SERVEITEM	Esarfa 2 va fi distrusa daca esueaza combinatia.
ACCE_DEL_SERVEITEM2	Eºarfa 2 va fi distrusã daca va eºua combinaþia.
ACCE_INITEM	Trage obiectul in fereastra.
ACCE_MAXGRADE	Acesta a fost deja personalizat.
ACCE_MAX_DRAINRATE	Max. Ratã de Absorbþie
ACCE_NOTABSORBITEM	Nu poti folosi o bucata de arma sau armura ce a fost deja absorbita.
ACCE_NOT_SEALITEM	Nu poti folosi niciun obiect personalizat.
ACCE_NOT_USINGITEM	Nu poti combina un obiect echipat.
ACCE_NOT_WINDOWOPEN	Nu poti folosi acest obiect daca fereastra folosita la combinatii este deschisa.
ACCE_POSSIBLE_ACCE	Poti folosi doar Esarfe.
ACCE_POSSIBLE_ACCEITEM	Poti extrage doar bonusurile din arme si armuri.
AFF_LOVE_POINT	Punct de dragoste: %d%%
ALIGNMENT_NAME	Puncte de grad:
ATTACK_ERROR_UNKNOWN	Greºealã de atac necunoscutã: %s
ATTENDANCE_REWARD_QUESTION	Doreºti sã colectezi recompensa?
AUTO_TOOLTIP_LINE1	Abilitãþi: Alege abilitãþile de lupta ºi trage-le în locurile libere. (Premium)
AUTO_TOOLTIP_LINE2	Indiciu: Poþi schimba intervalul de activare (în secunde) sub fiecare abilitate.
AUTO_TOOLTIP_LINE3	Licori: Alege licorile pentru luptã ºi trage-le în locurile libere. (Premium)
AUTO_TOOLTIP_LINE4	Indiciu: Licorile de PV si PM se vor activa de îndatã ce nivelul scade sub valoarea % arãtatã la fiecare licoare.
AUTO_TOOLTIP_LINE5	Notã: utilizarea automatã a abilitãþilor, licorilor ºi învierii poate fi activatã în magazinul de obiecte.
AUTO_TOOLTIP_TITLE	Ajutor Atac-Automat
BATTLE_POINT	Puncte de Luptã
CANNOT_ATTACK_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_ATTACK_SELF_IN_SAFE	Nu pot ataca.
CANNOT_EQUIP_IN_EXCHANGE	Nu poþi schimba echipamentul când negociezi.
CANNOT_EQUIP_IN_SHOP	Nu poþi schimba echipamentul când negociezi.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Nu poþi deschide magazinul într-un spaþiu public.
CANNOT_SHOOT_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_SHOOT_EMPTY_ARROW	Am nevoie de o sãgeatã.
CANNOT_SHOOT_SELF_IN_SAFE	Nu pot face asta.
CANNOT_SKILL_APPROACH	Sunt sigur ca nu ma pot apropia mai mult de atat.
CANNOT_SKILL_ATTACK	Nu pot ataca.
CANNOT_SKILL_BLUE	Nu poti folosi Sufletul Lupului Indigo atunci cand este activ Sufletul Lupului Rosu.
CANNOT_SKILL_DEST_IN_SAFE	Inamicul e prea departe.
CANNOT_SKILL_EQUIP_FISHING_ROD	Nu poþi pescui fãrã sã ai echipatã o undiþã.
CANNOT_SKILL_HAVE_TO_RIDE	Am nevoie de un cal pentru a folosi asta.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Nu am nicio sticlã goalã.
CANNOT_SKILL_NEED_POISON_BOTTLE	Nu am nicio sticlã cu otravã.
CANNOT_SKILL_NEED_TARGET	Care este þinta?
CANNOT_SKILL_NOT_ENOUGH_HP	Nu am destule PV!
CANNOT_SKILL_NOT_ENOUGH_SP	Nu am destule PM!
CANNOT_SKILL_NOT_HORSE_SKILL	Nu pot folosi asta în timp ce cãlãresc.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Aceasta abilitate nu o pot folosi la aceasta arma.
CANNOT_SKILL_NOT_YET_LEARN	Nu am învatat aceasta abilitate.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Are efect doar asupra membrilor grupului.
CANNOT_SKILL_ONLY_FOR_CORPSE	Are efect doar asupra morþilor.
CANNOT_SKILL_RED	Nu poti folosi Sufletul Lupului Rosu atunci cand este activ Sufletul Lupului Indigo.
CANNOT_SKILL_REMOVE_FISHING_ROD	Nu pot folosi aceasta abilitate cu o undita.
CANNOT_SKILL_SELF_IN_SAFE	De aici nu pot ataca.
CANNOT_SKILL_USE_SELF	Nu pot folosi asta asupra mea.
CANNOT_SKILL_WAIT_COOLTIME	Nu pot folosi inca aceasta abilitate.
CANNOT_USE	Nu poti folosi asta.
CANNOT_WHISPER_DEST_REFUSE	%s a blocat complet ºoptitul.	SA
CANNOT_WHISPER_NOT_LOGON	%s nu e online.	SA
CANNOT_WHISPER_SELF_REFUSE	Nu poþi ºopti cuiva ceva dacã ºoptitul e complet blocat. 	SNA
CATEGORY_ARMOR_ARMOR_BODY	Armurã
CATEGORY_ARMOR_ARMOR_HEAD	Coifuri
CATEGORY_ARMOR_ARMOR_SHIELD	Scuturi
CATEGORY_COSTUMES	Costume
CATEGORY_COSTUMES_COSTUME_BODY	Costume
CATEGORY_COSTUMES_COSTUME_HAIR	Frizuri
CATEGORY_COSTUMES_COSTUME_WEAPON	Accesorii Arme
CATEGORY_COSTUMES_ETC	Altele
CATEGORY_COSTUMES_SASH	Eºarfe
CATEGORY_DRAGON_STONE	Alchimia Piatrã Dragon
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamante
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granat
